timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777593108735,73,03 - POST /restaurants/5/reviews,401,Unauthorized,Virtual Users [200 threads] 1-190,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,186,186,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,73,0,0
1777593108791,82,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-191,text,true,,790,311,185,185,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,81,0,0
1777593108793,150,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [200 threads] 1-192,text,false,Login failed — check credentials in users.csv,337,363,186,186,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,150,0,73
1777593108874,78,03 - POST /restaurants/5/reviews,401,Unauthorized,Virtual Users [200 threads] 1-191,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,186,186,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,78,0,0
1777593108944,92,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-192,text,true,,790,311,185,185,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,92,0,0
1777593108943,145,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [200 threads] 1-193,text,false,Login failed — check credentials in users.csv,337,363,185,185,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,145,0,73
1777593109038,88,03 - POST /restaurants/5/reviews,401,Unauthorized,Virtual Users [200 threads] 1-192,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,186,186,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,88,0,0
1777593109089,82,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-193,text,true,,790,311,185,185,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,82,0,0
1777593109172,77,03 - POST /restaurants/5/reviews,401,Unauthorized,Virtual Users [200 threads] 1-193,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,186,186,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,77,0,0
1777593109100,149,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [200 threads] 1-194,text,false,Login failed — check credentials in users.csv,337,363,186,186,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,149,0,73
1777593109250,77,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-194,text,true,,790,311,185,185,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,77,0,0
1777593109238,145,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [200 threads] 1-195,text,false,Login failed — check credentials in users.csv,337,363,185,185,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,145,0,73
1777593109329,73,03 - POST /restaurants/5/reviews,401,Unauthorized,Virtual Users [200 threads] 1-194,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,186,186,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,73,0,0
1777593109385,80,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-195,text,true,,790,311,185,185,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,80,0,0
1777593109465,74,03 - POST /restaurants/5/reviews,401,Unauthorized,Virtual Users [200 threads] 1-195,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,185,185,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,74,0,0
