timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777593309273,78,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-7,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,78,0,0
1777593309291,79,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-6,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,79,0,0
1777593309248,142,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-9,text,false,Login failed — check credentials in users.csv,337,360,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,142,0,71
1777593309331,83,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-8,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,83,0,0
1777593309352,76,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-7,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,76,0,0
1777593309312,143,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-10,text,false,Login failed — check credentials in users.csv,337,360,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,143,0,70
1777593309392,84,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-9,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,84,0,0
1777593309415,73,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-8,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,73,0,0
1777593309368,143,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-11,text,false,Login failed — check credentials in users.csv,337,360,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,143,0,71
1777593309456,81,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-10,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,81,0,0
